state,biden,booker,harris,orourke,sanders,warren,other,bidendelegates,bookerdelegates,harrisdelegates,orourkedelegates,sandersdelegates,warrendelegates,otherdelegates,bidenmadeit,bookermadeit,harrismadeit,orourkemadeit,sandersmadeit,warrenmadeit,othermadeit,bidenpercent,bookerpercent,harrispercent,orourkepercent,sanderspercent,warrenpercent,otherpercent
Iowa,31.0,4.3,16.5,12.2,25.5,10.2,0.0,10.2,2.9,7.7,5.8,10.4,5.6,0.0,64.9,100.0,100.0,100.0,100.0,100.0,100.0,17.0,8.1,15.7,12.5,19.6,12.7,2.1
New Hampshire,29.6,4.1,14.3,5.4,37.3,8.8,0.1,5.7,1.6,4.0,1.9,7.6,2.8,0.0,59.3,78.0,83.0,81.1,86.0,80.8,74.5,18.5,7.4,15.3,8.7,25.3,11.5,2.4
Nevada,37.5,4.0,9.8,5.8,36.2,6.2,0.1,9.7,2.3,4.8,3.3,11.2,3.3,0.1,54.9,61.5,70.3,65.9,76.3,66.4,55.9,23.2,7.2,13.4,9.7,27.4,9.8,2.0
South Carolina,45.4,6.0,13.0,6.0,22.0,7.0,0.3,17.3,4.5,8.4,4.6,12.5,5.1,0.3,52.0,48.8,59.7,54.0,69.6,54.8,42.1,28.6,8.8,15.3,9.0,22.2,9.9,1.5
Alabama,37.8,4.1,10.4,5.9,34.8,6.3,0.5,15.5,3.2,6.9,4.5,16.4,4.6,0.5,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.8,6.6,13.1,8.8,28.9,9.1,1.9
California,30.1,3.0,27.7,5.9,27.1,5.8,0.1,105.9,22.1,99.7,37.3,112.4,37.4,0.9,50.4,39.6,51.7,44.7,63.8,46.1,32.2,24.0,5.9,22.8,9.4,26.1,9.5,0.6
Massachusetts,30.1,4.8,12.0,11.0,28.1,12.5,1.3,23.1,5.7,12.6,11.0,24.0,12.2,3.1,50.4,39.6,51.7,44.7,63.8,46.1,32.2,21.3,6.1,12.6,11.0,22.8,12.1,4.1
North Carolina,37.3,4.0,11.0,6.0,34.6,6.3,0.4,32.4,6.7,15.3,9.5,34.5,10.0,1.1,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.5,6.4,13.6,8.8,28.7,9.2,1.9
Oklahoma,37.3,4.0,10.7,6.1,34.6,6.5,0.4,10.9,2.2,5.1,3.2,11.6,3.4,0.3,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.5,6.4,13.5,8.8,28.8,9.3,1.9
Tennessee,37.6,3.9,10.6,5.9,35.2,6.1,0.4,19.0,3.9,8.8,5.5,20.3,5.7,0.6,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.6,6.4,13.4,8.8,29.0,9.0,1.9
Texas,37.8,3.9,10.5,5.8,35.2,6.0,0.5,66.5,13.6,30.5,19.1,70.7,19.8,2.4,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.7,6.4,13.4,8.7,29.0,9.0,1.9
Vermont,37.6,3.8,10.6,5.8,35.3,6.1,0.4,4.7,0.9,2.1,1.3,5.0,1.4,0.1,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.7,6.4,13.3,8.7,29.0,9.0,1.9
Virginia,37.6,3.9,10.5,5.8,35.3,6.1,0.5,29.4,6.1,13.5,8.5,31.4,8.8,1.0,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.7,6.4,13.3,8.7,29.0,9.1,1.9
American Samoa,37.8,3.8,10.2,5.8,35.4,6.1,0.5,1.7,0.3,0.8,0.5,1.9,0.5,0.0,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.8,6.3,13.2,8.7,29.1,9.1,1.9
Colorado,37.7,3.8,10.4,5.9,35.5,6.1,0.2,19.5,4.2,9.3,5.9,21.0,6.2,0.5,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.4,6.6,13.6,9.0,28.8,9.4,1.8
Georgia,37.5,4.0,10.5,5.9,35.4,6.0,0.5,30.9,6.4,14.1,8.9,33.1,9.2,1.1,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.7,6.4,13.3,8.7,29.1,9.0,1.9
Minnesota,37.9,3.8,10.3,5.8,35.3,6.1,0.5,22.4,4.5,10.1,6.4,23.9,6.6,0.8,50.4,39.6,51.7,44.7,63.8,46.1,32.2,26.8,6.3,13.2,8.7,29.1,9.0,1.9
Louisiana,37.8,3.8,10.5,5.8,35.0,6.1,0.5,15.6,2.8,6.8,4.1,16.3,4.3,0.7,48.5,28.8,43.6,34.5,58.8,36.1,21.5,28.6,5.8,13.3,8.2,30.1,8.7,1.7
Kansas,37.7,3.9,10.5,5.9,35.2,6.1,0.3,9.9,1.9,4.5,2.7,10.4,2.9,0.3,48.5,28.8,43.6,34.5,58.8,36.1,21.5,28.2,6.0,13.6,8.5,29.9,8.9,1.6
Maine,37.7,3.8,10.8,5.8,35.0,6.2,0.4,7.4,1.3,3.2,1.9,7.6,2.0,0.3,47.1,22.2,38.3,28.4,55.6,30.5,15.8,29.4,5.5,13.5,8.1,30.6,8.8,1.5
Idaho,37.8,3.7,10.8,5.7,34.9,6.1,0.6,6.3,1.0,2.6,1.5,6.4,1.6,0.3,46.2,18.8,35.3,25.1,53.8,27.5,13.0,30.3,5.1,13.2,7.7,31.2,8.3,1.6
Michigan,41.7,3.1,11.4,3.9,31.8,7.5,0.2,42.3,5.9,17.9,7.6,39.7,12.4,0.9,46.2,18.8,35.3,25.1,53.8,27.5,13.0,32.2,4.8,14.1,6.2,30.5,9.8,0.9
Mississippi,37.5,3.7,10.9,5.8,34.9,6.2,0.7,11.3,1.8,4.7,2.7,11.6,3.0,0.6,46.2,18.8,35.3,25.1,53.8,27.5,13.0,30.2,5.2,13.2,7.8,31.2,8.4,1.6
Missouri,37.5,3.7,10.9,5.7,35.0,6.3,0.6,21.7,3.5,9.2,5.3,22.2,5.7,1.1,46.2,18.8,35.3,25.1,53.8,27.5,13.0,30.2,5.2,13.2,7.7,31.2,8.4,1.6
Ohio,37.4,3.7,10.9,5.9,34.8,6.4,0.6,43.2,7.1,18.4,10.8,44.2,11.7,2.2,46.2,18.8,35.3,25.1,53.8,27.5,13.0,30.1,5.3,13.3,7.9,31.1,8.6,1.6
Democrats Abroad,37.9,3.6,10.7,5.7,35.0,6.2,0.7,4.1,0.6,1.7,0.9,4.2,1.0,0.2,46.2,18.8,35.3,25.1,53.8,27.5,13.0,30.4,5.0,13.1,7.7,31.3,8.3,1.6
